Ciudades,Entidad_federativa,cuartos_disponibles_2018,cuartos_ocupados_2018,cuartos_disponibles_2019,cuartos_ocupados_2019,ocupacion_2019,cuartos_disponibles_2020,cuartos_ocupados_2020,ocupacion_2020,Aeropuerto_mas_cercano_codigo_IATA,Llegadas_nacionales_aeropuerto_abril_2019,Llegadas_internacionales_aeropuerto_abril_2019,Llegadas_nacionales_aeropuerto_abril_2020,Llegadas_internacionales_aeropuerto_abril_2020
SANTA MARIA DE HUATULCO,OAXACA,3722,2723,4240,3519,82.99,4320,0,0,HUX,34061.00,3889.00,491.00,1.00
CANCUN,QUINTANA ROO,35038,28826,35266,29091,82.49,35132,151,0,CUN,383545.00,720079.00,19779.00,1677.00
IXTAPA ZIHUATANEJO,GUERRERO,6271,4101,6282,3272,52.08,,,,ZIH,17818.00,7560.00,827.00,45.00
LORETO,BAJA CALIFORNIA SUR,892,513,896,724,80.82,,,,LTO,782.00,3914.00,23.00,17.00
CABO SAN LUCAS,BAJA CALIFORNIA SUR,11280,8400,11641,8982,77.16,13404,33,0.2,SDJ,81840.00,161595.00,5636.00,549.00
SAN JOSE DEL CABO,BAJA CALIFORNIA SUR,4492,3510,4497,3207,71.3,4873,7,0.1,SDJ,81840.00,161595.00,5636.00,549.00
ACAPULCO,GUERRERO,19110,10077,19058,14795,77.63,19057,170,1,ACA,39215.00,779.00,2938.00,9.00
COZUMEL,QUINTANA ROO,4670,3409,4667,3007,64.43,5158,26,1,CZM,5298.00,23028.00,50.00,37.00
LA PAZ,BAJA CALIFORNIA SUR,2780,1424,2722,1680,61.72,,,,LAP,42141.00,1.00,3357.00,0.00
MANZANILLO,COLIMA,4748,2429,4750,3425,72.1,4761,105,2,ZLO,4342.00,2808.00,58.00,48.00
MAZATLAN,SINALOA,9917,5984,9383,7704,82.11,9890,0,0,MZT,35669.00,10526.00,3797.00,182.00
PUERTO VALLARTA,JALISCO,12589,10882,12858,10609,82.51,13021,91,1,PVR,76315.00,134702.00,2028.00,999.00
BOCA DEL RIO,VERACRUZ,8670,4789,8768,5615,64.04,7311,294,4,VER,59219.00,1431.00,8223.00,0.00
ISLA MUJERES,QUINTANA ROO,1668,1198,1646,1104,67.08,1262,6,0,CUN,383545.00,720079.00,19779.00,1677.00
NUEVO VALLARTA,NAYARIT,9915,8415,9913,8446,85.2,10297,0,0,PVR,76315.00,134702.00,2028.00,999.00
AKUMAL,QUINTANA ROO,4478,3819,4467,4006,89.7,4608,0,0,CUN,383545.00,720079.00,19779.00,1677.00
PLAYA DEL CARMEN,QUINTANA ROO,17335,14605,17332,14629,84.4,17712,44,0.2,CUN,383545.00,720079.00,19779.00,1677.00
PUERTO ESCONDIDO,OAXACA,2344,1032,2442,1641,67.18,2524,8,0,PXM,15473.00,0.00,938.00,0.00
ROSARITO,BAJA CALIFORNIA,2211,849,2242,942,42.02,2621,164,6,TIJ,386295.00,1027.00,62508.00,0.00
SAN FELIPE,BAJA CALIFORNIA,581,126,,,,823,6,1,SFH,,,,
TONALA,JALISCO,800,335,771,542,70.32,747,26,4,TAP,17157.00,0.00,4140.00,0.00
CIUDAD DE MEXICO,CIUDAD DE MEXICO,51924,34083,51208,28666,55.98,51638,692,1,MEX,1344336.00,691402.00,134526.00,22895.00
GUADALAJARA,JALISCO,18207,11135,22131,12163,54.96,21736,1519,7,GDL,433836.00,153916.00,43762.00,13432.00
MONTERREY,NUEVO LEON,13761,10047,13773,8024,58.26,15074,757,5,MTY,399824.00,50462.00,29643.00,920.00
AGUASCALIENTES,AGUASCALIENTES,4570,2896,5301,3662,69.09,5220,408,8,AGU,28375.00,6592.00,1392.00,731.00
CAMPECHE,CAMPECHE,1412,820,1415,807,57.01,1395,49,4,CPE,6074.00,0.00,423.00,0.00
CELAYA,GUANAJUATO,2327,1074,3208,1060,33.03,3278,415,13,QRO,31422.00,13312.00,502.00,522.00
CHIHUAHUA,CHIHUAHUA,3953,1939,3943,1877,47.6,4880,286,6,CUU,64667.00,3881.00,3984.00,193.00
COATZACOALCOS,VERACRUZ,1771,617,1770,685,38.71,1773,130,7,MTT,6137.00,0.00,730.00,0.00
COLIMA,COLIMA,1405,709,1078,675,62.66,1090,92,8,CLQ,8029.00,0.00,976.00,0.00
COMITAN DE DOMINGUEZ,CHIAPAS,1307,446,1391,857,61.62,1392,28,2,TGZ,63162.00,34.00,7026.00,0.00
CULIACAN,SINALOA,2803,1370,2635,892,33.86,,,,CUL,108842.00,564.00,12985.00,0.00
DURANGO,DURANGO,1885,1008,1906,1284,67.37,1878,117,6,DGO,15905.00,1658.00,1431.00,297.00
EL FUERTE,SINALOA,394,137,401,179,44.53,406,20,5,LMM,18773.00,0.00,1925.00,0.00
GUANAJUATO,GUANAJUATO,2999,1461,3164,1965,62.11,3288,3,0,BJX,84057.00,25086.00,5130.00,1914.00
HERMOSILLO,SONORA,2776,1593,2775,1406,50.66,2796,146,5,HMO,78913.00,1508.00,6676.00,23.00
IRAPUATO,GUANAJUATO,2249,1156,2666,762,28.58,2905,283,10,BJX,84057.00,25086.00,5130.00,1914.00
LEON,GUANAJUATO,5866,3409,6621,3070,46.37,6987,280,4,BJX,84057.00,25086.00,5130.00,1914.00
LOS MOCHIS,SINALOA,1474,753,1401,706,50.4,,,,LMM,18773.00,0.00,1925.00,0.00
MERIDA,YUCATAN,6691,4413,7176,3999,55.73,,,,MID,112811.00,6092.00,6828.00,136.00
MORELIA,MICHOACAN,3098,1995,,,,2740,48,2,MLM,17243.00,14996.00,3835.00,1354.00
OAXACA,OAXACA,5700,3010,5894,4035,68.46,6205,41,1,OAX,42616.00,3700.00,3377.00,0.00
PACHUCA,HIDALGO,,,1107,790,71.34,1579,176,11,PCA,,,,
PALENQUE,CHIAPAS,2099,922,2103,1549,73.66,2118,64,3,PQM,598.00,0.00,0.00,0.00
PUEBLA,PUEBLA,8300,5263,9419,6249,66.34,9718,143,1,PBC,29254.00,1209.00,3061.00,0.00
QUERETARO,QUERETARO,7419,5102,7453,4896,65.69,7463,375,5,QRO,31422.00,13312.00,502.00,522.00
SALAMANCA,GUANAJUATO,875,459,1242,308,24.77,1226,78,6,MEX,1344336.00,691402.00,134526.00,22895.00
SAN CRISTOBAL DE LAS CASAS,CHIAPAS,3260,1447,3329,2275,68.34,3333,26,1,TGZ,63162.00,34.00,7026.00,0.00
SAN JUAN DE LOS LAGOS,JALISCO,3676,839,3676,1280,34.82,3582,64,2,AGU,28375.00,6592.00,1392.00,731.00
SAN JUAN DEL RIO,QUERETARO,1095,611,1126,630,55.96,1225,109,9,QRO,31422.00,13312.00,502.00,522.00
SAN LUIS POTOSI,SAN LUIS POTOSI,5010,3576,5680,4036,71.05,6025,424,7,SLP,18616.00,5976.00,524.00,436.00
SAN MIGUEL DE ALLENDE,GUANAJUATO,1937,1102,2055,1205,58.62,2138,48,2,BJX,84057.00,25086.00,5130.00,1914.00
TAXCO,GUERRERO,946,363,879,650,73.95,890,18,2,MEX,1344336.00,691402.00,134526.00,22895.00
TEQUISQUIAPAN,QUERETARO,909,283,760,488,64.19,945,3,0,QRO,31422.00,13312.00,502.00,522.00
TLAXCALA,TLAXCALA,635,195,573,187,32.61,656,19,3,PBC,29254.00,1209.00,3061.00,0.00
