Entidad_federativa,cuartos_disponibles ,cuartos_ocupados,% cuartos_disponibles ,% cuartos_ocupados
AGUASCALIENTES,35279191.04,16521731.31,0.850640681,0.771575493
BAJA CALIFORNIA,142467829.8,62967381.59,3.435139192,2.940617274
BAJA CALIFORNIA SUR,118613279.8,67464489.26,2.859965837,3.150635099
CAMPECHE,46037539.55,23299487.9,1.110042573,1.088101091
CHIAPAS,122308616.7,48199261.06,2.94906663,2.250936534
CHIHUAHUA,148012820.8,72913616.86,3.568838259,3.405112867
CIUDAD DE MEXICO,433956702.7,256093542.3,10.46342658,11.95973336
COAHUILA,59485997.61,27333152.62,1.434307535,1.276475831
COLIMA,57598032.62,26489991.63,1.388785521,1.23709967
DURANGO,28789450.17,13391984.05,0.694162105,0.62541428
ESTADO DE MEXICO,113474768.1,43124319.46,2.73606767,2.013933493
GUANAJUATO,139725916.9,59311487.92,3.369027057,2.769884685
GUERRERO,241660865.2,104737846.2,5.826850248,4.891324874
HIDALGO,58626397.83,25278741.36,1.413581137,1.180533502
JALISCO,366047970.3,182392539.3,8.826032731,8.517849053
MICHOACAN,117098252.7,49186457.65,2.823435983,2.297039251
MORELOS,68457116.3,27579294.68,1.650616308,1.287970824
NAYARIT,100050916.7,59532363.58,2.412396017,2.780199721
NUEVO LEON,109802547.3,62697813.32,2.647524245,2.928028263
OAXACA,118428045.6,50238178.45,2.85549953,2.34615529
PUEBLA,98255096.75,51249234.68,2.369095775,2.393372267
QUERETARO,68861977.33,35493130.38,1.660378189,1.657552048
QUINTANA ROO,559139114,397037174,13.48178523,18.54189174
SAN LUIS POTOSI,58883633.25,29925748.09,1.419783516,1.397551709
SINALOA,128145430,62473937.59,3.089802023,2.917573122
SONORA,108846705.7,55406876.89,2.624477296,2.587536836
TABASCO,49927102.56,25150291.86,1.203826485,1.174534828
TAMAULIPAS,90571957.98,41460655.79,2.183842366,1.936239328
TLAXCALA,17567302.17,6537925.84,0.423577226,0.305325347
VERACRUZ,239374075.5,108614474.4,5.771711898,5.07236591
YUCATAN,58350224.89,30131408.83,1.406922143,1.407156198
ZACATECAS,43522138.09,19063553.23,1.04939201,0.890280214
